"","names","prices","change"
"1","Bitcoin","$18,478.32","-11.74%"
"2","Ethereum","$1,335.58","-16.64%"
"3","Tether","$1.02","+0.08%"
"4","BNB","$328.77","-7.26%"
"5","USD Coin","$1.00","+0.01%"
"6","Binance USD","$0.9992","-0.10%"
"7","XRP","$0.3985","-15.38%"
"8","Cardano","$0.3703","-10.22%"
"9","Dogecoin","$0.08677","-23.63%"
"10","Polygon","$0.9992","-19.84%"
"11","Solana","$23.09","-22.07%"
"12","Polkadot","$6.32","-12.59%"
"13","Dai","$1.01","+0.05%"
"14","Wrapped TRON","$0.05876","-6.03%"
"15","Shiba Inu","$0.00001033","-14.65%"
"16","HEX","$0.03121","-5.85%"
"17","TRON","$0.05886","-6.10%"
"18","Avalanche","$15.64","-14.22%"
"19","Uniswap","$6.23","-12.79%"
"20","Lido stETH","$1,299.44","-17.07%"
"21","Wrapped Bitcoin","$18,599.36","-11.75%"
"22","Litecoin","$60.19","-13.06%"
"23","UNUS SED LEO","$4.18","-0.24%"
"24","Chainlink","$7.52","-19.60%"
"25","Cosmos","$12.22","-16.49%"
"26","Ethereum Classic","$22.10","-14.09%"
"27","Cronos","$0.1028","-19.89%"
"28","Monero","$136.78","-12.69%"
"29","Stellar","$0.09963","-11.43%"
"30","Algorand","$0.3274","-21.84%"
"31","NEAR Protocol","$2.61","-16.14%"
"32","Bitcoin Cash","$103.94","-14.04%"
"33","Toncoin","$1.58","-10.80%"
"34","Bitcoin BEP2","$18,233.46","-11.70%"
"35","Quant","$146.01","-7.72%"
"36","VeChain","$0.02352","-17.18%"
"37","Filecoin","$4.84","-18.24%"
"38","Flow","$1.44","-18.01%"
"39","Chiliz","$0.2085","-25.76%"
"40","OKB","$20.48","-9.46%"
"41","Luna Classic","$0.0001924","-23.70%"
"42","Frax","$0.9776","-1.72%"
"43","Wrapped BNB","$320.99","-6.69%"
"44","Hedera","$0.0516","-14.95%"
"45","ApeCoin","$3.86","-18.54%"
"46","Internet Computer","$4.35","-18.49%"
"47","Elrond","$48.58","-12.20%"
"48","Tezos","$1.17","-16.81%"
"49","The Sandbox","$0.7005","-19.72%"
"50","Decentraland","$0.5588","-19.53%"
